AU	DE	ID	C1	JI	RP	DI	BE	BN	SN	SO	LA	TC	PN	PP	PU	DB	TI	DT	VL	PY	J9	CR	AU_UN	AU1_UN	AU_UN_NR	SR_FULL	SR
SUWANDI R;NASUTION S;AZMI F	CRYPTOGRAPHY; ENCRYPTION; HOMOMORPHIC; OKAMOTO-UCHIYAMA; PAILLIER	NA	ELECTRICAL ENGINEERING FACULTY, TELKOM UNIVERSITY, BANDUNG, INDONESIA	TELKOMNIKA TELECOMUN. COMPT. ELECTR. CONTROL	R. SUWANDI; ELECTRICAL ENGINEERING FACULTY, TELKOM UNIVERSITY, BANDUNG, INDONESIA; EMAIL: RIFKI.S@HOTMAIL.COM	10.12928/TELKOMNIKA.v16i2.8420	NA	NA	16936930	TELKOMNIKA (TELECOMMUNICATION COMPUTING ELECTRONICS AND CONTROL)	ENGLISH	5	2	862 – 867	UNIVERSITAS AHMAD DAHLAN	ISI	SECURE EVOTING SYSTEM BY UTILIZING HOMOMORPHIC PROPERTIES OF THE ENCRYPTION ALGORITHM	ARTICLE	16	2018	TELKOMNIKA TELECOMUN COMPT ELECTR CONTROL	none	TELKOM UNIVERSITY	NOTREPORTED;TELKOM UNIVERSITY;NOTREPORTED	NA	SUWANDI R, 2018, TELKOMNIKA TELECOMUN COMPT ELECTR CONTROL	SUWANDI R, 2018, TELKOMNIKA TELECOMUN COMPT ELECTR CONTROL
KHARAT R;NAIDU P;CHATTAR S	AUTHENTICATION SERVER; BALLOT; BLIND SIGNATURE; CONFIDEN-TIALITY; DECRYPTION; ENCRYPTION; INSTANT RUNOFF; ONLINE VOTING; PRIVATE KEY; PUBLIC KEY; PUBLIC KEY CRYPTOGRAPHY; RESULTS; VOTE COUNTING SERVER	NA	CSE DEPARTMENT, GITAM INSTITUTE OF TECHNOLOGY, GITAM UNIVERSITY, VISAKHAPATNAM, INDIA; COMPUTER DEPARTMENT, PIMPRI CHINCHWAD COLLEGE OF ENGINEERING, PUNE, INDIA	INT. J. RECENT TECHNOL. ENG.	NA	10.35940/ijrte.B35906.078219	NA	NA	22773878	INTERNATIONAL JOURNAL OF RECENT TECHNOLOGY AND ENGINEERING	ENGLISH	0	2	6311 – 6316	BLUE EYES INTELLIGENCE ENGINEERING AND SCIENCES PUBLICATION	ISI	CONFIDENTIALITY PRESERVING INSTANT RUNOFF VOTING SYSTEM	ARTICLE	8	2019	INT J RECENT TECHNOL ENG	none	GITAM UNIVERSITY;PIMPRI CHINCHWAD COLLEGE OF ENGINEERING	GITAM UNIVERSITY;PIMPRI CHINCHWAD COLLEGE OF ENGINEERING	NA	KHARAT R, 2019, INT J RECENT TECHNOL ENG	KHARAT R, 2019, INT J RECENT TECHNOL ENG
SAQIB M;KIANI J;SHAHZAD B;ANJUM A;MALIK S;AHMAD N;KHAN A	DUAL SIGNATURES; E-VOTING; PRIVACY; SECURITY	DATA PRIVACY; FORMAL METHODS; NETWORK SECURITY; VOTING MACHINES; BLIND SIGNATURES; DUAL SIGNATURE; E-VOTING; E-VOTING PROTOCOLS; E-VOTING SYSTEMS; PERFORMANCE EVALUATIONS; RECEIPT-FREENESS; SECURITY; INTERNET PROTOCOLS	DEPARTMENT OF INFORMATION SYSTEMS, FACULTY OF COMPUTING AND INFORMATION TECHNOLOGY, UNIVERSITY OF JEDDAH, JEDDAH, SAUDI ARABIA; DEPARTMENT OF COMPUTER SCIENCES, COMSATS INSTITUTE OF INFORMATION TECHNOLOGY, ISLAMABAD, PAKISTAN; DEPARTMENT OF ENGINEERING, FACULTY OF ENGINEERING & CS, NATIONAL UNIVERSITY OF MODERN LANGUAGES, ISLAMABAD, PAKISTAN; DEPARTMENT OF COMPUTER SCIENCES, AIR UNIVERSITY, ISLAMABAD, PAKISTAN	CLUSTER COMPUT.	A. ANJUM; DEPARTMENT OF COMPUTER SCIENCES, COMSATS INSTITUTE OF INFORMATION TECHNOLOGY, ISLAMABAD, PAKISTAN; EMAIL: ADEEL.ANJUM@COMSATS.EDU.PK	10.1007/s10586-018-2162-7	NA	NA	13867857	CLUSTER COMPUTING	ENGLISH	10	NA	1703 – 1716	SPRINGER NEW YORK LLC	ISI	ANONYMOUS AND FORMALLY VERIFIED DUAL SIGNATURE BASED ONLINE EVOTING PROTOCOL	ARTICLE	22	2019	CLUSTER COMPUT	none	UNIVERSITY OF JEDDAH;COMSATS INSTITUTE OF INFORMATION TECHNOLOGY;NATIONAL UNIVERSITY OF MODERN LANGUAGES;AIR UNIVERSITY	NOTREPORTED;COMSATS INSTITUTE OF INFORMATION TECHNOLOGY;NOTREPORTED	NA	SAQIB MN, 2019, CLUSTER COMPUT	SAQIB MN, 2019, CLUSTER COMPUT
TSO R;LIU Z;HSIAO J	BLOCKCHAIN; E-BIDDING; E-VOTING; HOMOMORPHIC ENCRYPTION; OBLIVIOUS TRANSFER; SMART CONTRACT	NA	DEPARTMENT OF COMPUTER SCIENCE, NATIONAL CHENGCHI UNIVERSITY, TAIPEI, 11605, TAIWAN; NATIONAL CENTER FOR CYBER SECURITY TECHNOLOGY, THE EXECUTIVE YUAN, TAIPEI, 10674, TAIWAN	ELECTRONICS (SWITZERLAND)	R. TSO; DEPARTMENT OF COMPUTER SCIENCE, NATIONAL CHENGCHI UNIVERSITY, TAIPEI, 11605, TAIWAN; EMAIL: RAYLIN@CS.NCCU.EDU.TW	10.3390/electronics8040422	NA	NA	20799292	ELECTRONICS (SWITZERLAND)	ENGLISH	40	4	NA	MDPI AG	ISI	DISTRIBUTED EVOTING AND EBIDDING SYSTEMS BASED ON SMART CONTRACT	ARTICLE	8	2019	ELECTRONICS (SWITZERLAND)	none	NATIONAL CHENGCHI UNIVERSITY;NATIONAL CENTER FOR CYBER SECURITY TECHNOLOGY	NOTREPORTED;NATIONAL CHENGCHI UNIVERSITY;NOTREPORTED	NA	TSO R, 2019, ELECTRONICS (SWITZERLAND)	TSO R, 2019, ELECTRONICS (SWITZERLAND)
GJØSTEEN K;LUND A	ATTACK DETECTION; ELECTRONIC VOTING; USABILITY EXPERIMENT	ONLINE SYSTEMS; ATTACK DETECTION; DETECTION RATES; ELECTRONIC VOTING; ELECTRONIC VOTING PROTOCOLS; INTERNET VOTING PROTOCOL; STATISTICAL POWER; UPPER AND LOWER BOUNDS; VOTING PROTOCOLS; VOTING MACHINES	DEPARTMENT OF MATHEMATICAL SCIENCES, NTNU, TRONDHEIM, 7491, NORWAY	ANN TELECOMMUN	K. GJØSTEEN; DEPARTMENT OF MATHEMATICAL SCIENCES, NTNU, TRONDHEIM, 7491, NORWAY; EMAIL: KRISTIAN.GJOSTEEN@MATH.NTNU.NO	10.1007/s12243-016-0509-8	NA	NA	00034347	ANNALES DES TELECOMMUNICATIONS/ANNALS OF TELECOMMUNICATIONS	ENGLISH	9	78	299 – 307	SPRINGER-VERLAG FRANCE	ISI	AN EXPERIMENT ON THE SECURITY OF THE NORWEGIAN ELECTRONIC VOTING PROTOCOL	ARTICLE	71	2016	ANN TELECOMMUN	none	DEPARTMENT OF MATHEMATICAL SCIENCES	NOTREPORTED;DEPARTMENT OF MATHEMATICAL SCIENCES;NOTREPORTED	NA	GJØSTEEN K, 2016, ANN TELECOMMUN	GJØSTEEN K, 2016, ANN TELECOMMUN
ZIA M;ALI R	NA	ELECTRONIC VOTING; GEOMETRY; NETWORK SECURITY; ELLIPTIC CURVE; MESSAGE INTEGRITY; NON REPUDIATION; SECURITY ATTRIBUTES; SECURITY FLAWS; SIGNCRYPTION SCHEMES; CRYPTOGRAPHY	DEPARTMENT OF MATHEMATICS, CAPITAL UNIVERSITY OF SCIENCE AND TECHNOLOGY, ISLAMABAD, PAKISTAN	ELECTRON. LETT.	M. ZIA; DEPARTMENT OF MATHEMATICS, CAPITAL UNIVERSITY OF SCIENCE AND TECHNOLOGY, ISLAMABAD, PAKISTAN; EMAIL: ZIAMALIK199@GMAIL.COM	10.1049/el.2019.0032	NA	NA	00135194	ELECTRONICS LETTERS	ENGLISH	14	8	457 – 459	INSTITUTION OF ENGINEERING AND TECHNOLOGY	ISI	CRYPTANALYSIS AND IMPROVEMENT OF BLIND SIGNCRYPTION SCHEME BASED ON ELLIPTIC CURVE	ARTICLE	55	2019	ELECTRON LETT	none	CAPITAL UNIVERSITY OF SCIENCE AND TECHNOLOGY	NOTREPORTED;CAPITAL UNIVERSITY OF SCIENCE AND TECHNOLOGY;NOTREPORTED	NA	ZIA M, 2019, ELECTRON LETT	ZIA M, 2019, ELECTRON LETT
CULNANE C;RYAN P;SCHNEIDER S;TEAGUE V	VERIFIABLE ELECTRONIC VOTING SYSTEMS; VOTING PROTOCOLS	CRYPTOGRAPHY; CRYPTOGRAPHIC PROTOCOLS; CRYPTOGRAPHIC VOTING; DESIGN DECISIONS; ELECTRONIC VOTING SYSTEMS; PRACTICAL ENGINEERING; SECURITY PROPERTIES; USER EXPERIENCE; VOTING PROTOCOLS; VOTING MACHINES	FACULTÉ DES SCIENCES, DE LA TECHNOLOGIE ET DE LA COMMUNICATION, CAMPUS KIRCHBERG, UNIVERSITÉ DU LUXEMBOURG, 6, RUE RICHARD COUDENHOVE-KALERGI, LUXEMBOURG, L-1359, LUXEMBOURG; DEPARTMENT OF COMPUTING, FACULTY OF ENGINEERING AND PHYSICAL SCIENCES, UNIVERSITY OF SURREY, GUILDFORD, SURREY, GU2 7XH, UNITED KINGDOM; DEPARTMENT OF COMPUTING AND INFORMATION SYSTEMS, UNIVERSITY OF MELBOURNE, PARKVILLE 3010, VIC, AUSTRALIA	ACM TRANS. INF. SYST. SECUR.	NA	10.1145/2746338	NA	NA	10949224	ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY	ENGLISH	33	1	NA	ASSOCIATION FOR COMPUTING MACHINERY	ISI	V VOTE A VERIFIABLE VOTING SYSTEM	ARTICLE	18	2015	ACM TRANS INF SYST SECUR	none	UNIVERSITÉ DU LUXEMBOURG;UNIVERSITY OF SURREY;UNIVERSITY OF MELBOURNE	UNIVERSITÉ DU LUXEMBOURG;UNIVERSITY OF SURREY;UNIVERSITY OF MELBOURNE	NA	CULNANE C, 2015, ACM TRANS INF SYST SECUR	CULNANE C, 2015, ACM TRANS INF SYST SECUR
KHAZAEI S;REZAEI-ALIABADI M	ELECTRONIC VOTING; FORMAL METHODS; PROVABLE SECURITY; UNIVERSAL COMPOSABILITY FRAMEWORK	FORMAL METHODS; SECURITY SYSTEMS; E-VOTING PROTOCOLS; ELECTRONIC VOTING; ELECTRONIC VOTING PROTOCOLS; PROVABLE SECURITY; SECURE ELECTRONIC VOTING; SECURITY ANALYSIS; TRUSTED AUTHORITIES; UNIVERSAL COMPOSABILITY; VOTING MACHINES	DEPARTMENT OF MATHEMATICAL SCIENCES, SHARIF UNIVERSITY OF TECHNOLOGY, TEHRAN, IRAN	J. INF. SECUR. APPL.	S. KHAZAEI; DEPARTMENT OF MATHEMATICAL SCIENCES, SHARIF UNIVERSITY OF TECHNOLOGY, TEHRAN, IRAN; EMAIL: SHAHRAM.KHAZAEI@SHARIF.IR	10.1016/j.jisa.2018.10.010	NA	NA	22142134	JOURNAL OF INFORMATION SECURITY AND APPLICATIONS	ENGLISH	6	NA	99 – 109	ELSEVIER LTD	ISI	A RIGOROUS SECURITY ANALYSIS OF A DECENTRALIZED ELECTRONIC VOTING PROTOCOL IN THE UNIVERSAL COMPOSABILITY FRAMEWORK	ARTICLE	43	2018	J INF SECUR APPL	none	SHARIF UNIVERSITY OF TECHNOLOGY	NOTREPORTED;SHARIF UNIVERSITY OF TECHNOLOGY;NOTREPORTED	NA	KHAZAEI S, 2018, J INF SECUR APPL	KHAZAEI S, 2018, J INF SECUR APPL
MOHAMMADPOURFARD M;DOOSTARI M;GHAZNAVI G M;SHAKIBA N	CRYPTOGRAPHIC PROTOCOLS; CRYPTOGRAPHY; ELECTRONIC VOTING; INTERNET VOTING; JAVA CARD 3 TECHNOLOGY; JIF	CRYPTOGRAPHY; HTTP; HYPERTEXT SYSTEMS; JAVA PROGRAMMING LANGUAGE; MALWARE; MICROCOMPUTERS; NETWORK SECURITY; ONLINE SYSTEMS; VOTING MACHINES; WEB SERVICES; CRYPTOGRAPHIC PROTOCOLS; ELECTRONIC VOTING; INTERNET VOTING; INTERNET VOTING PROTOCOL; INTERNET VOTING SYSTEM; JAVA CARD; SECURITY REQUIREMENTS; WEB SERVER TECHNOLOGY; INTERNET PROTOCOLS	DEPARTMENT OF IT AND COMPUTER ENGINEERING, SHAHED UNIVERSITY, TEHRAN, IRAN; SCHOOL OF ENGINEERING, SHAHED UNIVERSITY, TEHRAN, IRAN	SECUR. COMMUN. NETWORKS	NA	10.1002/sec.978	NA	NA	19390114	SECURITY AND COMMUNICATION NETWORKS	ENGLISH	4	2	261 – 283	JOHN WILEY AND SONS INC.	ISI	A NEW SECURE INTERNET VOTING PROTOCOL USING JAVA CARD 3 TECHNOLOGY AND JAVA INFORMATION FLOW CONCEPT	ARTICLE	8	2015	SECUR COMMUN NETWORKS	none	SHAHED UNIVERSITY;SHAHED UNIVERSITY	SHAHED UNIVERSITY;SHAHED UNIVERSITY	NA	MOHAMMADPOURFARD M, 2015, SECUR COMMUN NETWORKS	MOHAMMADPOURFARD M, 2015, SECUR COMMUN NETWORKS
QURESHI A;MEGÍAS D;RIFA-POUS H	AUTHENTICATION; EFFICIENCY; ELECTRONIC POLLING; MALWARE; SECURITY; VERIFIABILITY	AUTHENTICATION; COMPUTER CRIME; CRYPTOGRAPHY; DATA PRIVACY; EFFICIENCY; MALWARE; SURVEYS; VIRUSES; AUTHENTICATION MECHANISMS; COMPARATIVE ANALYSIS; CRYPTOGRAPHIC PRIMITIVES; ELECTRONIC POLLINGS; MULTI-FACTOR AUTHENTICATION; SECURITY; UNAUTHORIZED MODIFICATION; VERIFIABILITY; VOTING MACHINES	CYBERCAT-CENTER FOR CYBERSECURITY RESEARCH OF CATALONIA, INTERNET INTERDISCIPLINARY INSTITUTE (IN3), UNIVERSITAT OBERTA DE CATALUNYA (UOC), BARCELONA, 08860, SPAIN	IEEE ACCESS	A. QURESHI; CYBERCAT-CENTER FOR CYBERSECURITY RESEARCH OF CATALONIA, INTERNET INTERDISCIPLINARY INSTITUTE (IN3), UNIVERSITAT OBERTA DE CATALUNYA (UOC), BARCELONA, 08860, SPAIN; EMAIL: AQURESHI@UOC.EDU	10.1109/ACCESS.2019.2897252	NA	NA	21693536	IEEE ACCESS	ENGLISH	16	NA	19266 – 19290	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	SEVEP SECURE AND VERIFIABLE ELECTRONIC POLLING SYSTEM	ARTICLE	7	2019	IEEE ACCESS	none	BARCELONA	A. QURESHI;UNIVERSITAT OBERTA DE CATALUNYA (UOC);EMAIL: AQURESHI@UOC.EDU	NA	QURESHI A, 2019, IEEE ACCESS	QURESHI A, 2019, IEEE ACCESS
YU H;WANG Z	BLIND SIGNCRYPTION; CERTIFICATELESS PUBLIC KEY; ELLIPTIC CURVE; RANDOM ORACLES; SCALAR MULTIPLICATION	COMPUTATIONAL EFFICIENCY; ELECTRONIC VOTING; GEOMETRY; PRIVACY BY DESIGN; UBIQUITOUS COMPUTING; COMMUNICATION OVERHEADS; COMPUTATIONAL DIFFIE-HELLMAN PROBLEMS; DISCRETE LOGARITHMS; ELECTRONIC AUCTION; ELLIPTIC CURVE CRYPTOSYSTEM; MOBILE COMPUTING ENVIRONMENT; PRIVACY PRESERVING; PUBLIC KEY CRYPTOSYSTEMS; PUBLIC KEY CRYPTOGRAPHY	SCHOOL OF CYBERSPACE SECURITY, XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS, XI'AN, 710121, CHINA; SCHOOL OF AUTOMATION, XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS, XI'AN, 710121, CHINA; SCHOOL OF COMPUTER, QINGHAI NORMAL UNIVERSITY, XINING, 810008, CHINA	IEEE ACCESS	H. YU; SCHOOL OF CYBERSPACE SECURITY, XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS, XI'AN, 710121, CHINA; EMAIL: YUHUIFANG@XUPT.EDU.CN	10.1109/ACCESS.2019.2935788	NA	NA	21693536	IEEE ACCESS	ENGLISH	3	NA	115181 – 115191	INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC.	ISI	CERTIFICATELESS BLIND SIGNCRYPTION WITH LOW COMPLEXITY	ARTICLE	7	2019	IEEE ACCESS	none	XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS;XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS;QINGHAI NORMAL UNIVERSITY	NOTREPORTED;XI'AN UNIVERSITY OF POSTS AND TELECOMMUNICATIONS;NOTREPORTED	NA	YU H, 2019, IEEE ACCESS	YU H, 2019, IEEE ACCESS
ZHU H;TAN Y;ZHU L;ZHANG Q;LI Y	NA	COMPUTATION THEORY; ELECTRONIC DOCUMENT IDENTIFICATION SYSTEMS; FOG COMPUTING; PUBLIC KEY CRYPTOGRAPHY; QUANTUM COMPUTERS; DISCRETE LOGARITHM PROBLEMS; FACTORING PROBLEM; INTEGER SOLUTIONS; MATHEMATICAL PROBLEMS; PROXY BLIND SIGNATURE; PROXY SIGNATURES; PUBLIC KEY INFRASTRUCTURE; REAL-TIME TRANSACTIONS; AUTHENTICATION	SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY, BEIJING INSTITUTE OF TECHNOLOGY, BEIJING, 100081, CHINA; RESEARCH CENTER OF MASSIVE LANGUAGE INFORMATION PROCESSING AND CLOUD COMPUTING APPLICATION, BEIJING, 100081, CHINA	WIRELESS COMMUN. MOBILE COMPUT.	Y. LI; SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY, BEIJING INSTITUTE OF TECHNOLOGY, BEIJING, 100081, CHINA; EMAIL: POPULAR@BIT.EDU.CN	10.1155/2018/5401890	NA	NA	15308669	WIRELESS COMMUNICATIONS AND MOBILE COMPUTING	ENGLISH	13	NA	NA	HINDAWI LIMITED	ISI	AN EFFICIENT IDENTITYBASED PROXY BLIND SIGNATURE FOR SEMIOFFLINE SERVICES	ARTICLE	2018	2018	WIRELESS COMMUN MOBILE COMPUT	none	SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY;RESEARCH CENTER OF MASSIVE LANGUAGE INFORMATION PROCESSING AND CLOUD COMPUTING APPLICATION	NOTREPORTED;SCHOOL OF COMPUTER SCIENCE AND TECHNOLOGY;NOTREPORTED	NA	ZHU H, 2018, WIRELESS COMMUN MOBILE COMPUT	ZHU H, 2018, WIRELESS COMMUN MOBILE COMPUT
ECCLES T;HALAK B	AUTHENTICATION; BIT COMMITMENT SCHEME; CRYPTOGRAPHY; HARDWARE; PROTOCOL; SECURITY; SMART METERS	NA	COMPUTER SCIENCE DEPARTMENT, SOUTHAMPTON UNIVERSITY, UNIVERSITY ROAD, SOUTHAMPTON, SO17 1BJ, UNITED KINGDOM	CRYPTOGR.	T. ECCLES; COMPUTER SCIENCE DEPARTMENT, SOUTHAMPTON UNIVERSITY, SOUTHAMPTON, UNIVERSITY ROAD, SO17 1BJ, UNITED KINGDOM; EMAIL: TDE1G14@ECS.SOTON.AC.UK; B. HALAK; COMPUTER SCIENCE DEPARTMENT, SOUTHAMPTON UNIVERSITY, SOUTHAMPTON, UNIVERSITY ROAD, SO17 1BJ, UNITED KINGDOM; EMAIL: BH9@ECS.SOTON.AC.UK	10.3390/cryptography1030020	NA	NA	2410387X	CRYPTOGRAPHY	ENGLISH	4	3	1 – 14	MDPI AG	ISI	PERFORMANCE ANALYSIS OF SECURE AND PRIVATE BILLING PROTOCOLS FOR SMART METERING	ARTICLE	1	2017	CRYPTOGR	none	SOUTHAMPTON UNIVERSITY	NOTREPORTED;SOUTHAMPTON UNIVERSITY;NOTREPORTED;NOTREPORTED;SOUTHAMPTON UNIVERSITY;NOTREPORTED	NA	ECCLES T, 2017, CRYPTOGR	ECCLES T, 2017, CRYPTOGR
DAYANA B;NISHANTH S;KRISHNA A;NITISH R	BLOCKCHAIN; ELECTRONIC VOTING; ETHEREUM; HASHING	NA	DEPARTMENT OF COMPUTER SCIENCE, SRM INSTITUTE OF SCIENCE AND TECHNOLOGY, RAMAPURAM, INDIA	INT. J. ENG. ADV. TECHNOL.	NA	10.35940/ijeat.A1441.109119	NA	NA	22498958	INTERNATIONAL JOURNAL OF ENGINEERING AND ADVANCED TECHNOLOGY	ENGLISH	0	1	3279 – 3282	BLUE EYES INTELLIGENCE ENGINEERING AND SCIENCES PUBLICATION	ISI	SECURE BLOCKCHAIN VOTING TECHNOLOGY	ARTICLE	9	2019	INT J ENG ADV TECHNOL	none	SRM INSTITUTE OF SCIENCE AND TECHNOLOGY	SRM INSTITUTE OF SCIENCE AND TECHNOLOGY	NA	DAYANA BD, 2019, INT J ENG ADV TECHNOL	DAYANA BD, 2019, INT J ENG ADV TECHNOL
DOSSOGNE J;LAFITTE F	BLINDING; E-VOTING; HELIOS; HOMOMORPHISM; SELF-TALLYING	BLINDING; E-VOTING; HELIOS; HOMOMORPHISM; SELF-TALLYING; CRYPTOGRAPHY	DEPARTMENT OF MATHEMATICS, ROYAL MILITARY ACADEMY, BRUSSELS, BELGIUM; DÉPARTEMENT D'INFORMATIQUE, UNIVERSITÉ LIBRE DE BRUXELLES, BRUSSELS, BELGIUM	J. INF. SECUR. APPL.	J. DOSSOGNE; DÉPARTEMENT D'INFORMATIQUE, UNIVERSITÉ LIBRE DE BRUXELLES, BRUSSELS, BELGIUM; EMAIL: JDOSSOGN@ULB.AC.BE	10.1016/j.jisa.2014.07.002	NA	NA	22142134	JOURNAL OF INFORMATION SECURITY AND APPLICATIONS	ENGLISH	9	NA	40 – 53	ELSEVIER LTD	ISI	BLINDED ADDITIVELY HOMOMORPHIC ENCRYPTION SCHEMES FOR SELFTALLYING VOTING	ARTICLE	22	2015	J INF SECUR APPL	none	ROYAL MILITARY ACADEMY;UNIVERSITÉ LIBRE DE BRUXELLES	NOTREPORTED;UNIVERSITÉ LIBRE DE BRUXELLES;NOTREPORTED	NA	DOSSOGNE J, 2015, J INF SECUR APPL	DOSSOGNE J, 2015, J INF SECUR APPL
GAO W;HU Y;WANG B;CHEN J;WANG X	DIGITAL SIGNATURE; LATTICE-BASED CRYPTOGRAPHY; RING SIGNATURE	CRYPTOGRAPHY; ELECTRONIC DOCUMENT IDENTIFICATION SYSTEMS; % REDUCTIONS; CASE HARDNESS; KEY SIZES; LATTICE-BASED; LATTICE-BASED CRYPTOGRAPHY; POST QUANTUM; RING SIGNATURE SCHEMES; RING SIGNATURES; SIMPLE OPERATION; WITHOUT RANDOM ORACLES; AUTHENTICATION	COLLEGE OF ELECTRICAL AND INFORMATION ENGINEERING, SHAANXI UNIVERSITY OF SCIENCE AND TECHNOLOGY, XI’AN, 710021, CHINA; STATE KEY LABORATORY OF INTEGRATED SERVICE NETWORKS, XIDIAN UNIVERSITY, XI’AN, 710071, CHINA; SCHOOL OF MATHEMATICS AND STATISTICS, MINNAN NORMAL UNIVERSITY, ZHANGZHOU, 363000, CHINA; SCHOOL OF COMPUTER SCIENCE, SHAANXI NORMAL UNIVERSITY, XI’AN, 710119, CHINA	CHIN J ELECTRON	NA	10.1049/cje.2018.12.005	NA	NA	10224653	CHINESE JOURNAL OF ELECTRONICS	ENGLISH	3	2	266 – 272	CHINESE INSTITUTE OF ELECTRONICS	ISI	EFFICIENT RING SIGNATURE SCHEME WITHOUT RANDOM ORACLE FROM LATTICES	ARTICLE	28	2019	CHIN J ELECTRON	none	SHAANXI UNIVERSITY OF SCIENCE AND TECHNOLOGY;XIDIAN UNIVERSITY;MINNAN NORMAL UNIVERSITY;SHAANXI NORMAL UNIVERSITY	SHAANXI UNIVERSITY OF SCIENCE AND TECHNOLOGY;XIDIAN UNIVERSITY;MINNAN NORMAL UNIVERSITY;SHAANXI NORMAL UNIVERSITY	NA	GAO W, 2019, CHIN J ELECTRON	GAO W, 2019, CHIN J ELECTRON
DELAUNE S;HIRSCHI L	BEHAVIOURAL EQUIVALENCE; CRYPTOGRAPHIC PROTOCOLS; PRIVACY-RELATED PROPERTIES; SYMBOLIC MODELS	CRYPTOGRAPHY; EQUIVALENCE CLASSES; VOTING MACHINES; BEHAVIOURAL EQUIVALENCE; CRYPTOGRAPHIC PROTOCOLS; ELECTRONIC VOTING SYSTEMS; INSECURE NETWORKS; SECURITY PROPERTIES; SYMBOLIC METHODS; SYMBOLIC MODEL; VERIFICATION TOOLS; NETWORK SECURITY	CNRS/IRISA, RENNES, FRANCE; LSV, CNRS & ENS CACHAN, FRANCE	J. LOGICA. ALGEBRAIC METHODS PROGRAM.	S. DELAUNE; CNRS/IRISA, RENNES, FRANCE; EMAIL: STEPHANIE.DELAUNE@IRISA.FR	10.1016/j.jlamp.2016.10.005	NA	NA	23522216	JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING	ENGLISH	16	NA	127 – 144	ELSEVIER INC.	ISI	A SURVEY OF SYMBOLIC METHODS FOR ESTABLISHING EQUIVALENCEBASED PROPERTIES IN CRYPTOGRAPHIC PROTOCOLS	ARTICLE	87	2017	J LOGICA ALGEBRAIC METHODS PROGRAM	none	CNRS/IRISA;CNRS AND ENS CACHAN	NOTREPORTED;CNRS/IRISA;NOTREPORTED	NA	DELAUNE S, 2017, J LOGICA ALGEBRAIC METHODS PROGRAM	DELAUNE S, 2017, J LOGICA ALGEBRAIC METHODS PROGRAM
JIN C;XU C;ZHANG X;LI F	CERTIFICATELESS CRYPTOGRAPHY; DENIABLE AUTHENTICATION; DIGITAL FORENSICS; ELECTRONIC SECURITY; RANDOM ORACLE MODEL; WITHOUT PAIRINGS	AUTHENTICATION; DIGITAL FORENSICS; PUBLIC KEY CRYPTOGRAPHY; VOTING MACHINES; CERTIFICATELESS CRYPTOGRAPHIES; DENIABLE AUTHENTICATION; ELECTRONIC SECURITY; RANDOM ORACLE MODEL; WITHOUT PAIRINGS; ELECTRONIC VOTING	SCHOOL OF COMPUTER SCIENCE AND ENGINEERING, UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA, CHENGDU, 611731, CHINA	INT. J. ELECTRON. SECUR. DIGIT. FORENSICS	C. JIN; SCHOOL OF COMPUTER SCIENCE AND ENGINEERING, UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA, CHENGDU, 611731, CHINA; EMAIL: CHUNHUAKING@GMAIL.COM	10.1504/IJESDF.2015.069611	NA	NA	1751911X	INTERNATIONAL JOURNAL OF ELECTRONIC SECURITY AND DIGITAL FORENSICS	ENGLISH	7	2	179 – 196	INDERSCIENCE PUBLISHERS	ISI	AN EFFICIENT CERTIFICATELESS DENIABLE AUTHENTICATION PROTOCOL WITHOUT PAIRINGS	ARTICLE	7	2015	INT J ELECTRON SECUR DIGIT FORENSICS	none	UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA	NOTREPORTED;UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA;NOTREPORTED	NA	JIN C, 2015, INT J ELECTRON SECUR DIGIT FORENSICS	JIN C, 2015, INT J ELECTRON SECUR DIGIT FORENSICS
